name,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000","35,522 kms",Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000","48,508 kms",Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000","15,487 kms",Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000","39,000 kms",Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000","39,000 kms",Petrol
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,"6,50,000","82,000 kms",Diesel
Renault Lodgy 85 PS RXL,Renault,2018,"6,89,999","20,000 kms",Diesel
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,"4,48,000","68,000 kms",Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,"5,49,000","32,000 kms",Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"5,01,000","38,000 kms",Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,"4,89,999","27,000 kms",Diesel
Honda City 1.5 S MT,Honda,2011,"2,80,000","33,000 kms",Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000","60,000 kms",Petrol
Maruti Suzuki Dzire,Maruti,2013,"3,49,999","46,000 kms",Diesel
Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
Honda Amaze 1.5 SX i DTEC,Honda,2015,"3,45,000","36,000 kms",Diesel
Honda City,Honda,2015,"4,99,999","55,000 kms",Petrol
Datsun Redi GO S,Datsun,2017,"2,35,000","16,000 kms",Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"2,49,999","36,000 kms",Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel
Mahindra Bolero DI,Mahindra,2017,"1,80,000","23,452 kms",Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000","35,522 kms",Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000","48,508 kms",Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000","15,487 kms",Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000","39,000 kms",Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000","39,000 kms",Petrol
Mahindra Scorpio S10,Mahindra,2015,"3,95,000","35,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,"2,20,000","30,874 kms",Petrol
Honda City ZX CVT,Honda,2017,"1,70,000","15,000 kms",Diesel
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,"85,000","29,685 kms",Petrol
Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 kms",Diesel
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000","24,530 kms",Diesel
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 kms",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,70,000","19,000 kms",Diesel
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,"3,15,000","60,000 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000","60,000 kms",Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000","30,000 kms",Petrol
I want to sell my car Tata Zest,I,2017,Ask For Price,,
Chevrolet Spark LS 1.0,Chevrolet,2010,"1,10,000","41,000 kms",Petrol
Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000","35,000 kms",Diesel
Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
Datsun Redi GO S,Datsun,2017,"2,35,000","16,000 kms",Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500","38,200 kms",Diesel
Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,500 kms",Petrol
Mahindra Scorpio S4,Mahindra,2015,"8,65,000","30,000 kms",Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"6,99,000","50,000 kms",Diesel
Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
I want to sell my car Tata Zest,I,2017,Ask For Price,,
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,"12,00,000","3,600 kms",Diesel
Hyundai i20 Magna,Hyundai,2009,"1,95,000","32,000 kms",Petrol
Toyota Corolla Altis Diesel D4DG,Toyota,2010,"3,51,000","38,000 kms",Diesel
Hyundai Verna Transform SX VTVT,Hyundai,2008,"1,60,000","45,000 kms",Petrol
Toyota Corolla Altis Petrol Ltd,Toyota,2009,"2,40,000","35,000 kms",Petrol
Honda City 1.5 EXi New,Honda,2005,"90,000","50,000 kms",Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"4,15,000","32,000 kms",Petrol
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,"1,55,000","45,863 kms",Diesel
BMW 3 Series 320i,BMW,2011,"6,00,000","60,500 kms",Petrol
Maruti Suzuki A Star Lxi,Maruti,2011,"1,89,500","12,500 kms",Petrol
Toyota Etios GD,Toyota,2013,"3,50,000","60,000 kms",Diesel
Ford Figo Diesel EXI Option,Ford,2012,"2,10,000","35,000 kms",Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,"3,90,000","35,000 kms",Petrol
Chevrolet Beat LT Diesel,Chevrolet,2012,"1,35,000","45,000 kms",Diesel
BMW 7 Series 740Li Sedan,BMW,2009,"16,00,000","35,000 kms",Petrol
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,"7,01,000","38,000 kms",Diesel
Hyundai i10 Magna 1.2,Hyundai,2014,"2,65,000","18,000 kms",Petrol
Hyundai Verna Fluidic New,Hyundai,2015,"5,25,000","35,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"3,72,000","13,349 kms",Petrol
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,"6,35,000","29,000 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,50,000","44,000 kms",Diesel
Maruti Suzuki Ertiga Vxi,Maruti,2016,"5,75,000","29,000 kms",Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013,"4,85,000","42,000 kms",Diesel
Maruti Suzuki Alto LXi BS III,Maruti,2012,"1,55,000","14,000 kms",Petrol
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,"3,45,000","49,000 kms",Diesel
Honda Amaze 1.2 S i VTEC,Honda,2014,"3,25,000","42,000 kms",Petrol
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"3,29,500","36,200 kms",Diesel
Ford Figo Diesel EXI,Ford,2014,"1,95,000","50,000 kms",Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,51,111","55,000 kms",Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,"5,69,999","45,000 kms",Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,"69,999","51,000 kms",Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,"2,99,999","19,000 kms",Petrol
Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
Maruti Suzuki Ritz LDi,Maruti,2013,"3,99,999","33,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"3,72,000","13,349 kms",Petrol
Maruti Suzuki Dzire VDI,Maruti,2015,"4,50,000","1,04,000 kms",Diesel
Toyota Etios Liva G,Toyota,2014,"2,70,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,"3,50,000","33,333 kms",Diesel
Chevrolet Spark,Chevrolet,2012,"1,58,400","33,600 kms",Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,"3,50,000","5,600 kms",Petrol
Nissan Micra XV,Nissan,2011,"1,79,000","41,000 kms",Petrol
Maruti Suzuki Swift,Maruti,2007,"1,25,000","70,000 kms",Petrol
Maruti Suzuki Alto 800,Maruti,2018,"2,00,000","7,500 kms",Petrol
Honda Amaze 1.5 S i DTEC,Honda,2013,"2,99,000","45,000 kms",Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"2,20,000","38,000 kms",Petrol
Chevrolet Beat,Chevrolet,2015,"1,50,000","30,000 kms",Petrol
Toyota Corolla,Toyota,2009,"2,75,000","26,000 kms",
Honda City 1.5 V MT,Honda,2010,"2,85,000","35,000 kms",Petrol
Ford EcoSport Trend 1.5L TDCi,Ford,2016,"8,30,000","24,330 kms",Diesel
Hyundai i20 Asta 1.2,Hyundai,2009,"2,10,000","65,480 kms",Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,"3,40,000","41,000 kms",Petrol
Tata Indica V2 eLS,Tata,2006,"90,000","20,000 kms",Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2018,Ask For Price,"28,028 kms",Petrol
Hindustan Motors Ambassador,Hindustan,2000,"70,000","2,00,000 kms",Diesel
Toyota Corolla Altis 1.8 GL,Toyota,2010,"2,89,999","70,000 kms",Petrol
Toyota Corolla Altis 1.8 J,Toyota,2012,"3,49,999","59,000 kms",Petrol
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,"8,49,999","99,000 kms",Diesel
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,"7,49,999","46,000 kms",Diesel
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,"3,99,999","2,800 kms",Petrol
Volkswagen Polo,Volkswagen,2014,"2,74,999","32,000 kms",Petrol
Mahindra Scorpio,Mahindra,2015,"9,84,999","22,000 kms",Diesel
Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
Nissan Sunny,Nissan,2012,"2,24,999","45,000 kms",Petrol
Hyundai Elite i20,Hyundai,2018,"5,99,999","21,000 kms",Petrol
Renault Kwid,Renault,2016,"2,44,999","11,000 kms",Petrol
Renault Duster,Renault,2013,"3,99,999","41,000 kms",Diesel
Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
Renault Duster,Renault,2014,"4,74,999","50,000 kms",Diesel
Mahindra Scorpio VLX Airbag,Mahindra,2011,"4,99,999","66,000 kms",Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2018,"3,10,000","3,000 kms",Petrol
Chevrolet Spark LT 1.0,Chevrolet,2010,"85,000","45,000 kms",Petrol
Datsun Redi GO T O,Datsun,2016,"2,45,000","7,000 kms",Petrol
Maruti Suzuki Swift RS VDI,Maruti,2010,"1,89,500","38,500 kms",Diesel
Fiat Punto Emotion 1.2,Fiat,2012,"1,69,500","37,200 kms",Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010,"1,59,500","43,200 kms",Diesel
Toyota Etios GD,Toyota,2013,"2,75,000","24,800 kms",Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,"3,70,000","60,000 kms",Diesel
Hyundai i10 Sportz 1.2,Hyundai,2010,"1,68,000","45,872 kms",Petrol
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,"1,50,000","40,000 kms",Diesel
Chevrolet Beat LS Diesel,Chevrolet,2011,"1,45,000","45,000 kms",Diesel
Chevrolet Beat LT Diesel,Chevrolet,2012,"98,500","38,000 kms",Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"6,99,000","50,000 kms",Diesel
Tata Indigo CS,Tata,2011,"85,000","11,400 kms",Diesel
Toyota Corolla Altis 1.8 J,Toyota,2015,"5,75,000","42,000 kms",Petrol
Honda City 1.5 V MT,Honda,2014,"5,49,000","39,000 kms",Petrol
Maruti Suzuki Swift VDi,Maruti,2011,"2,09,000","47,000 kms",Diesel
Hyundai Eon Era Plus,Hyundai,2013,"1,85,000","27,000 kms",Petrol
Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
Mahindra XUV500,Mahindra,2014,"6,99,999","52,000 kms",Diesel
Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
Ford Fiesta,Ford,2011,"2,74,999","55,000 kms",Diesel
Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
Honda City,Honda,2015,"5,99,999","30,000 kms",Diesel
Maruti Suzuki Wagon R,Maruti,2012,"1,99,999","44,000 kms",Petrol
Honda City,Honda,2014,"5,44,999","45,000 kms",Diesel
Hyundai i20,Hyundai,2009,"1,99,000","31,000 kms",Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 kms",Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"5,40,000","38,000 kms",Diesel
"Commercial , DZire LDI, 2016, for sale",Commercial,...,Ask For Price,,
Mahindra Quanto C8,Mahindra,2013,"3,40,000","37,000 kms",Diesel
Fiat Petra ELX 1.2 PS,Fiat,2008,"75,000","65,000 kms",Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500","38,200 kms",Diesel
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
Hyundai Santro Xing XS,Hyundai,2005,"49,000","7,500 kms",Petrol
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,"7,00,000","3,350 kms",Petrol
Maruti Suzuki Zen VX,Maruti,2000,"55,000","60,000 kms",Petrol
Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,"8,95,000","32,000 kms",Petrol
"Tata indigo ecs LX, 201",Tata,150k,"1,50,000",,
Mahindra Scorpio SLX,Mahindra,2007,"3,55,000","75,000 kms",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,65,000","62,000 kms",Diesel
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,"3,65,000","73,000 kms",Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,"1,45,000","41,000 kms",Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,"2,10,000","35,000 kms",Petrol
Tata Nano Cx BSIV,Tata,2013,"40,000","2,200 kms",Petrol
Maruti Suzuki Alto Std BS IV,Maruti,2013,"1,25,000","39,000 kms",Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,"1,35,000","45,000 kms",Petrol
Maruti Suzuki Swift VXI BSIII,Maruti,2006,"1,35,000","45,000 kms",Petrol
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,"2,85,000","65,000 kms",Diesel
MARUTI SUZUKI DESI,MARUTI,TOUR,"4,00,000",,
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,"1,45,000","54,870 kms",Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2010,"1,35,000","34,580 kms",Petrol
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,"4,50,000","97,000 kms",Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,"3,75,000","25,000 kms",Diesel
Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,"3,65,000","20,000 kms",Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,"5,00,000","18,000 kms",Petrol
Mahindra Xylo E4,Mahindra,2012,"4,00,000","35,000 kms",Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2019,"3,90,000",60 kms,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000","35,000 kms",Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,"3,30,000","80,200 kms",Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000","3,200 kms",Diesel
Maruti Suzuki SX4,Maruti,2012,"2,65,000","46,000 kms",Diesel
Mahindra Jeep CL550 MDI,Mahindra,2019,"3,79,000","0,000 kms",Diesel
Maruti Suzuki Alto 800,Maruti,2015,"2,19,000","5,000 kms",Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018,"3,85,000",588 kms,Diesel
Toyota Etios,Toyota,2011,"2,75,000","36,000 kms",Diesel
Volkswagen Polo,Volkswagen,2015,"3,30,000","38,000 kms",Diesel
Honda City ZX VTEC,Honda,2008,"1,10,000","45,000 kms",Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2006,"80,000","71,200 kms",Petrol
Honda City VX O MT Diesel,Honda,2016,"5,19,000","52,000 kms",Diesel
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,"7,30,000","29,000 kms",Diesel
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"6,99,000","47,000 kms",Petrol
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,"20,00,000","20,000 kms",Diesel
Land Rover Freelander 2 SE,Land,2015,"21,00,000","30,000 kms",Diesel
Renault Kwid RXT,Renault,2017,"3,40,000","5,000 kms",Petrol
Tata Aria Pleasure 4X2,Tata,2014,"3,90,000","35,000 kms",Diesel
Mercedes Benz B Class B180 Sports,Mercedes,2014,"14,00,000","31,000 kms",Petrol
Datsun GO T O,Datsun,2016,"2,45,000","7,000 kms",Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 kms",Diesel
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,400 kms",Diesel
Honda Jazz VX MT,Honda,2016,"4,50,000","41,000 kms",Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014,"3,11,000","33,000 kms",Petrol
Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
Honda City,Honda,2012,"3,99,999","45,000 kms",Petrol
Honda City,Honda,2015,"5,99,999","39,000 kms",Diesel
Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"6,99,000","47,000 kms",Petrol
Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000","3,200 kms",Diesel
Mahindra Scorpio S4,Mahindra,2015,"8,55,000","30,000 kms",Diesel
Hyundai i20 Active 1.4L SX O,Hyundai,2015,"5,35,000","37,000 kms",Diesel
Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,"6,99,000","14,000 kms",Petrol
Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000","55,000 kms",Diesel
Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
Hyundai Eon Sportz,Hyundai,2012,"1,78,000","30,000 kms",Petrol
Tata Sumo Gold Select Variant,Tata,2013,"3,00,000","50,000 kms",Diesel
Maruti Suzuki Wagon R 1.0,Maruti,2003,"90,000","45,000 kms",Petrol
Maruti Suzuki Esteem VXi BS III,Maruti,2006,"95,000","45,000 kms",Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,55,000","9,300 kms",Petrol
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,"2,45,000","55,000 kms",Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"3,29,500","36,200 kms",Diesel
Ford Figo Diesel EXI,Ford,2014,"1,95,000","50,000 kms",Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,51,111","55,000 kms",Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,"5,69,999","45,000 kms",Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,"69,999","51,000 kms",Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,"2,99,999","19,000 kms",Petrol
Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
Maruti Suzuki Ritz LDi,Maruti,2013,"3,99,999","33,000 kms",Diesel
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"2,49,999","36,000 kms",Petrol
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,"2,89,999","22,000 kms",Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,500 kms",Petrol
Nissan Terrano XL D Plus,Nissan,2015,"4,99,999","60,000 kms",Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,"4,89,999","27,000 kms",Diesel
Renault Duster 85 PS RxE Diesel,Renault,2014,"4,89,999","59,000 kms",Diesel
Renault Duster 85 PS RxL Diesel,Renault,2015,"5,49,999","19,000 kms",Diesel
Maruti Suzuki Dzire ZXI,Maruti,2013,"3,80,000","30,000 kms",Petrol
Renault Kwid RXT Opt,Renault,2018,"3,25,000","15,000 kms",Petrol
Maruti Suzuki Maruti 800 Std,Maruti,2003,"57,000","56,758 kms",Petrol
Renault Kwid 1.0 RXT AMT,Renault,2018,"3,49,999","10,000 kms",Petrol
Renault Lodgy 85 PS RXL,Renault,2018,"6,89,999","20,000 kms",Diesel
Renault Scala RxL Diesel,Renault,2014,"3,49,999","49,000 kms",Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,"4,10,000","41,000 kms",Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,"2,25,000","45,000 kms",Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,"1,20,000","43,000 kms",Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 kms",Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,"59,000","56,450 kms",Petrol
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"5,40,000","38,000 kms",Diesel
"Commercial , DZire LDI, 2016, for sale",Commercial,...,Ask For Price,,
Chevrolet Beat LS Petrol,Chevrolet,2010,"80,000","56,000 kms",Petrol
Mahindra Quanto C8,Mahindra,2013,"3,40,000","37,000 kms",Diesel
Fiat Petra ELX 1.2 PS,Fiat,2008,"75,000","65,000 kms",Petrol
Chevrolet Beat LS Petrol,Chevrolet,2015,"2,20,000","32,700 kms",Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500","38,200 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,"5,99,000","30,000 kms",Diesel
Hyundai Accent GLX,Hyundai,2006,"80,000","56,000 kms",Petrol
Yama,Yamaha,r 15,"55,000",,
Maruti Suzuki Swift LDi,Maruti,2010,Ask For Price,"52,000 kms",Diesel
Mahindra TUV300 T4 Plus,Mahindra,2016,"6,75,000","9,000 kms",Diesel
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol
Tata Indica V2 Xeta e GLE,Tata,2008,"1,50,000","11,000 kms",Petrol
Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
Tata Indigo CS LS DiCOR,Tata,2009,"72,500","46,000 kms",Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,"6,10,000",73 kms,Petrol
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,"2,30,000","1,60,000 kms",Diesel
Tata Indica eV2 LS,Tata,2017,Ask For Price,"84,000 kms",Diesel
Honda Accord,Honda,2009,"1,75,000","58,559 kms",Petrol
Mahindra Scorpio S4,Mahindra,2015,"8,55,000","30,000 kms",Diesel
Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000","55,000 kms",Diesel
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,"5,20,000","57,000 kms",Diesel
Maruti Suzuki Ertiga,Maruti,2015,"5,24,999","50,000 kms",Diesel
Honda Amaze,Honda,2014,"2,99,999","37,000 kms",Petrol
Maruti Suzuki Dzire,Maruti,2012,"2,99,999","40,000 kms",Petrol
Honda City,Honda,2011,"2,84,999","55,000 kms",Petrol
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,"2,20,000","1,70,000 kms",Diesel
Maruti Suzuki Dzire,Maruti,2014,"4,24,999","55,000 kms",Diesel
Honda City,Honda,2015,"6,44,999","39,000 kms",Petrol
Honda Mobilio,Honda,2014,"3,99,999","44,000 kms",Petrol
Toyota Corolla Altis,Toyota,2009,"1,99,999","65,000 kms",Petrol
Honda City,Honda,2014,"5,84,999","39,000 kms",Petrol
Skoda Laura,Skoda,2012,"3,49,999","44,000 kms",Diesel
Renault Duster,Renault,2015,"4,49,999","49,000 kms",Diesel
Maruti Suzuki Ertiga,Maruti,2018,"7,99,999","9,000 kms",Diesel
Maruti Suzuki Dzire,Maruti,2015,"4,44,999","45,000 kms",Diesel
